msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
Abort,Bettal Bike,Bettal Bike,Bettal Bike,Bettal Bike,CONSISTENT (ALL),
Abort alternatives edit,,,Abort alternatives edit,,SOLITARY,
Abort bouquet edit,,,Abort bouquet edit,,SOLITARY,
Abort favourites edit,,,Abort favourites edit,,SOLITARY,
About,Heqé wi,Heqé wi,Heqé wi,Heqé wi,CONSISTENT (ALL),
Accesspoint:,Bigehize (Access Point):,Bigehize (Access Point):,Bigehize (Access Point):,Bigehize (Access Point):,CONSISTENT (ALL),
Activate HbbTV (Redbutton),'',,'',,EMPTY (SOME),
Activate Picture in Picture,Aktif bike resm o resm,Aktif bike resm o resm,Aktif bike resm o resm,Aktif bike resm o resm,CONSISTENT (ALL),
Activate current configuration,Ti dixwazi aktif biki,Ti dixwazi aktif biki,Ti dixwazi aktif biki,Ti dixwazi aktif biki,CONSISTENT (ALL),
Activate network settings,Eyare Networké Aktif bike,Eyare Networké Aktif bike,Eyare Networké Aktif bike,Eyare Networké Aktif bike,CONSISTENT (ALL),
Activate the configured network settings.,Actif bike eyaré networké..,Actif bike eyaré networké..,Actif bike eyaré networké..,Actif bike eyaré networké..,CONSISTENT (ALL),
Activate timeshift End,'',,'',,EMPTY (SOME),
Activate timeshift end and pause,'',,'','',EMPTY (SOME),
Adapter settings,Adaptör Çéki,Adaptör Çéki,Adaptör Çéki,Adaptör Çéki,CONSISTENT (ALL),
Add,Çéki lé giréde,Çéki lé giréde,Çéki lé giréde,Çéki lé giréde,CONSISTENT (ALL),
Add a mark,İşareté léki,İşareté léki,İşareté léki,İşareté léki,CONSISTENT (ALL),
Add a nameserver entry,Yek Navé nu léke,Yek Navé nu léke,Yek Navé nu léke,Yek Navé nu léke,CONSISTENT (ALL),
Add a new title,Navé Seroki,Navé Seroki,Navé Seroki,Navé Seroki,CONSISTENT (ALL),
Add alternatives,,,Add alternatives,,SOLITARY,
Add bookmark,Léke bookmark,Léke bookmark,Léke bookmark,Léke bookmark,CONSISTENT (ALL),
Add bouquet,,,Add bouquet,,SOLITARY,
Add bouquet to parental protection,,,'',,SOLITARY,
Add directory to playlist,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,CONSISTENT (ALL),
Add file to playlist,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,CONSISTENT (ALL),
Add files to playlist,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,Listeya Xebatéra dosya léke,CONSISTENT (ALL),
Add marker,,,Add marker,,SOLITARY,
Add provider,'',Add provider,Add provider,Add provider,INCOMPLETE (ALL),
Add recording (enter recording duration),'',Add recording (enter recording duration),Add recording (enter recording duration),Add recording (enter recording duration),INCOMPLETE (ALL),
Add recording (enter recording endtime),'',Add recording (enter recording endtime),Add recording (enter recording endtime),Add recording (enter recording endtime),INCOMPLETE (ALL),
Add recording (indefinitely),'',Add recording (indefinitely),Add recording (indefinitely),Add recording (indefinitely),INCOMPLETE (ALL),
Add recording (stop after current event),'',Add recording (stop after current event),Add recording (stop after current event),Add recording (stop after current event),INCOMPLETE (ALL),
Add service,Hizmeté Nu girédi,Hizmeté Nu girédi,Hizmeté Nu girédi,Hizmeté Nu girédi,CONSISTENT (ALL),
Add service to bouquet,,,Add service to bouquet,,SOLITARY,
Add service to favourites,,,Add service to favourites,,SOLITARY,
Add timer,'',Add timer,Add timer,Add timer,INCOMPLETE (ALL),
Add title,'',Add title,Add title,Add title,INCOMPLETE (ALL),
Add to bouquet,,bouqueta nu girédi,bouqueta nu girédi,bouqueta nu girédi,CONSISTENT (SOME),
Add to favourites,,Favoriye Nu Girédi,Favoriye Nu Girédi,Favoriye Nu Girédi,CONSISTENT (SOME),
Add to parental protection,,,Add to parental protection,,SOLITARY,
Add/remove change timer for current event,'',,'',,EMPTY (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,'',,'','',EMPTY (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,'',,'','',EMPTY (SOME),
