msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
Abort,'',Abort,,Abort,INCOMPLETE (SOME),
About,'',About,,About,INCOMPLETE (SOME),
About...,'',About...,,,INCOMPLETE (SOME),
Accesspoint:,'',Access point:,,Accesspoint:,MISMATCH (SOME),
Action on long power button press,,Action on long power button press,,,SOLITARY,
Action on short power button press,,Action on short power button press,,,SOLITARY,
Activate,'',Activate,,Activate,INCOMPLETE (SOME),
Activate MAC-address configuration,'',Activate MAC-address configuration,,,INCOMPLETE (SOME),
Activate PiP,,Activate PiP,,,SOLITARY,
Activate Picture in Picture,'',Activate Picture in Picture,,Activate Picture in Picture,INCOMPLETE (SOME),
Activate current configuration,'',Activate current configuration,,Activate current configuration,INCOMPLETE (SOME),
Activate network settings,'',Activate network settings,,Activate network settings,INCOMPLETE (SOME),
Activate the configured network settings.,'',Activate the configured network settings.,,Activate the configured network settings.,INCOMPLETE (SOME),
Active,'',Active,,Active,INCOMPLETE (SOME),
Active clients,'',Active clients,,Active clients,INCOMPLETE (SOME),
Adapter settings,'',Adapter settings,,Adapter settings,INCOMPLETE (SOME),
Add,'',Add,,Add,INCOMPLETE (SOME),
Add AutoTimer,'',Add AutoTimer,,Add AutoTimer,INCOMPLETE (SOME),
Add Timer,'',Add Timer,,Add Timer,INCOMPLETE (SOME),
Add a auto timer for current event,'',Add an auto timer for current event,,,INCOMPLETE (SOME),
Add a mark,'',Add a mark,,Add a mark,INCOMPLETE (SOME),
Add a nameserver entry,'',Add a nameserver entry,,Add a nameserver entry,INCOMPLETE (SOME),
Add a new title,'',Add a new title,,Add a new title,INCOMPLETE (SOME),
Add a record timer,'',Add a record timer,,Add a record timer,INCOMPLETE (SOME),
Add a record timer for current event,'',Add a record timer for current event,,Add a record timer for current event,INCOMPLETE (SOME),
Add a zap timer for current event,'',Add a zap timer for current event,,Add a zap timer for current event,INCOMPLETE (SOME),
Add a zap timer for next event,'',Add a zap timer for next event,,Add a zap timer for next event,INCOMPLETE (SOME),
Add bookmark,'',Add bookmark,,Add bookmark,INCOMPLETE (SOME),
Add directory to playlist,'',Add directory to playlist,,Add directory to playlist,INCOMPLETE (SOME),
Add file to playlist,'',Add file to playlist,,Add file to playlist,INCOMPLETE (SOME),
Add files to playlist,'',Add files to playlist,,Add files to playlist,INCOMPLETE (SOME),
Add provider,'',Add provider,,Add provider,INCOMPLETE (SOME),
Add recording (enter recording duration),'',Add recording (enter recording duration),,Add recording (enter recording duration),INCOMPLETE (SOME),
Add recording (enter recording endtime),'',Add recording (enter recording endtime),,Add recording (enter recording endtime),INCOMPLETE (SOME),
Add recording (indefinitely),'',Add recording (indefinitely),,Add recording (indefinitely),INCOMPLETE (SOME),
Add recording (stop after current event),'',Add recording (stop after current event),,Add recording (stop after current event),INCOMPLETE (SOME),
Add service,'',Add service,,Add service,INCOMPLETE (SOME),
Add timer,'',Add timer,,Add timer,INCOMPLETE (SOME),
Add title,'',Add title,,Add title,INCOMPLETE (SOME),
Add to bouquet,,Add to bouquet,,Add to bouquet,UNCHANGED (SOME),
Add to favourites,,Add to favourites,,Add to favourites,UNCHANGED (SOME),
Add/Remove timer for current event,'',Add/Remove timer for current event,,Add/Remove timer for current event,INCOMPLETE (SOME),
Adding schedule...,'',Adding schedule...,,Adding schedule...,INCOMPLETE (SOME),
Additional Info,'',Additional Info,,Additional Info,INCOMPLETE (SOME),
Address,'',Address,,Address,INCOMPLETE (SOME),
Adjust 3D settings,'',Adjust 3D settings,,,INCOMPLETE (SOME),
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Adjust the color settings so that all of the colour shades are distinguishable, but appear as saturated (rich) as possible.\n\nPress OK to close the video fine-tuning wizard when you're happy with the result; otherwise use the number buttons to show other test screens.","Adjust the colour settings so that all the colour shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",,"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",MISMATCH (SOME),
Advanced options,'',Advanced options,,Advanced options,INCOMPLETE (SOME),
Advanced restore,'',Advanced restore,,Advanced restore,INCOMPLETE (SOME),
Advanced software,'',Advanced software,,Advanced software,INCOMPLETE (SOME),
Advanced software plugin,'',Advanced software plugin,,Advanced software plugin,INCOMPLETE (SOME),
Advanced video enhancement setup,'',Advanced video enhancement setup,,Advanced video enhancement setup,INCOMPLETE (SOME),
Advanced video setup,,Advanced video setup,,,SOLITARY,
After event,'',After event,,After event,INCOMPLETE (SOME),
Album,'',Album,,Album,INCOMPLETE (SOME),
Alias,'',Alias,,Alias,INCOMPLETE (SOME),
All,'',All,,All,INCOMPLETE (SOME),
All ages,'',All ages,,All ages,INCOMPLETE (SOME),
All resolutions,'',All resolutions,,All resolutions,INCOMPLETE (SOME),
All satellites,,All satellites,,,SOLITARY,
Allocate,'',Allocate,,Allocate,INCOMPLETE (SOME),
Allocate unused memory index,'',Allocate unused memory index,,Allocate unused memory index,INCOMPLETE (SOME),
Allow subtitle language to equal audio language,'',Allow subtitle language to equal audio language,,Allow subtitle language to equal audio language,INCOMPLETE (SOME),
Allow subtitles for hearing impaired,'',Allow subtitles for hearing impaired,,Allow subtitles for hearing impaired,INCOMPLETE (SOME),
Allow unstable (experimental) updates,,Allow unstable (experimental) updates,,Allow unstable (experimental) updates,UNCHANGED (SOME),
Allows more detailed information to be in the crash log,,Allows more detailed information to be in the crash log,,,SOLITARY,
Allows the %s %s to read the stored EPG data regularly.,'',Allows the %s %s to read the stored EPG data regularly.,,Allows the %s %s to read the stored EPG data regularly.,INCOMPLETE (SOME),
Allows the %s %s to store the EPG data regularly.,'',Allows the %s %s to store the EPG data regularly.,,Allows the %s %s to store the EPG data regularly.,INCOMPLETE (SOME),
Allows you to adjust the amount of time the resolution infomation display on screen.,,Allows you to adjust the amount of time the resolution infomation display on screen.,,Allows you to adjust the amount of time the resolution infomation display on screen.,UNCHANGED (SOME),
Allows you to enable the debug logs. They contain very detailed information about everything the system does.,,Allows you to enable the debug logs. They contain very detailed information about everything the system does.,,,SOLITARY,
Allows you to enable/disable displaying icons on the front panel.,,Allows you to enable/disable displaying icons on the front panel.,,Allows you to enable/disable displaying icons on the front panel.,UNCHANGED (SOME),
Allows you to hide the extensions of known file types.,'',Allows you to hide the extensions of known file types.,,Allows you to hide the extensions of known file types.,INCOMPLETE (SOME),
Allows you to send a copy of the log to yourself.,,Allows you to send a copy of the log to yourself.,,Allows you to send a copy of the log to yourself.,UNCHANGED (SOME),
"Allows you to set the maximum size (MB) of the individual debug logs. When that size is reached, a new file will be created.",,"Allows you to set the maximum size (MB) of the individual debug logs. When that size is reached, a new file will be created.",,,SOLITARY,
Allows you to setup the button to do what you choose.,'',Allows you to setup the button to do what you choose.,,Allows you to setup the button to do what you choose.,INCOMPLETE (SOME),
Allows you to show/hide CCcam Info in extensions (blue button).,,Allows you to show/hide CCcam Info in extensions (blue button).,,Allows you to show/hide CCcam Info in extensions (blue button).,UNCHANGED (SOME),
Allows you to show/hide Log Manager in extensions (blue button).,'',Allows you to show/hide Log Manager in extensions (blue button).,,Allows you to show/hide Log Manager in extensions (blue button).,INCOMPLETE (SOME),
Allows you to show/hide OScam Info in extensions (blue button).,,Allows you to show/hide OScam Info in extensions (blue button).,,Allows you to show/hide OScam Info in extensions (blue button).,UNCHANGED (SOME),
Alpha,'',Alpha,,Alpha,INCOMPLETE (SOME),
Alphanumeric,'',Alphanumeric,,Alphanumeric,INCOMPLETE (SOME),
Alternative,'',Alternative,,Alternative,INCOMPLETE (SOME),
Alternative numbering mode,'',Alternative numbering mode,,Alternative numbering mode,INCOMPLETE (SOME),
Alternative radio mode,'',Alternative radio mode,,Alternative radio mode,INCOMPLETE (SOME),
Alternative services tuner priority,'',Alternative services tuner priority,,Alternative services tuner priority,INCOMPLETE (SOME),
Always ask,'',Always ask,,Always ask,INCOMPLETE (SOME),
Always hide infobar,'',Always hide infobar,,Always hide infobar,INCOMPLETE (SOME),
Always show bouquets,'',Always show bouquets,,Always show bouquets,INCOMPLETE (SOME),
An empty filename is illegal.,'',An empty filename is illegal.,,An empty filename is illegal.,INCOMPLETE (SOME),
An error occurred while downloading the packetlist. Please try again.,'',An error occurred while downloading the packetlist. Please try again.,,An error occurred while downloading the packetlist. Please try again.,INCOMPLETE (SOME),
An unknown error occurred!,'',An unknown error occurred!,,An unknown error occurred!,INCOMPLETE (SOME),
Any activity,'',Any activity,,Any activity,INCOMPLETE (SOME),
Arabic,'',Arabic,,Arabic,INCOMPLETE (SOME),
Are you sure to remove this entry?,'',Are you sure to remove this entry?,,Are you sure to remove this entry?,INCOMPLETE (SOME),
Are you sure you want to activate this network configuration?\n\n,'',Are you sure you want to activate this network configuration?\n\n,,Are you sure you want to activate this network configuration?\n\n,INCOMPLETE (SOME),
Are you sure you want to delete\nthe following backup:\n,'',Are you sure you want to delete\nthe following backup:\n,,Are you sure you want to delete\nthe following backup:\n,INCOMPLETE (SOME),
Are you sure you want to delete all selected logs:\n,'',Are you sure you want to delete all selected logs:\n,,,INCOMPLETE (SOME),
Are you sure you want to delete this log:\n,'',Are you sure you want to delete this log:\n,,Are you sure you want to delete this log:\n,INCOMPLETE (SOME),
Are you sure you want to delete this:\n ,'',Are you sure you want to delete this:\n ,,Are you sure you want to delete this:\n ,INCOMPLETE (SOME),
Are you sure you want to exit this wizard?,'',Are you sure you want to exit this wizard?,,Are you sure you want to exit this wizard?,INCOMPLETE (SOME),
Are you sure you want to reload the EPG data from:\n,'',Are you sure you want to reload the EPG data from:\n,,Are you sure you want to reload the EPG data from:\n,INCOMPLETE (SOME),
Are you sure you want to restart your network interfaces?\n\n,'',Are you sure you want to restart your network interfaces?\n\n,,Are you sure you want to restart your network interfaces?\n\n,INCOMPLETE (SOME),
Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,'',Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,INCOMPLETE (SOME),
Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,'',Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,INCOMPLETE (SOME),
Are you sure you want to save the EPG Cache to:\n,'',Are you sure you want to save the EPG cache to:\n,,Are you sure you want to save the EPG Cache to:\n,MISMATCH (SOME),
Are you sure you want to send this log:\n,'',Are you sure you want to send this log:\n,,Are you sure you want to send this log:\n,INCOMPLETE (SOME),
Are you sure you want to update your %s %s ?,'',Are you sure you want to update your %s %s ?,,Are you sure you want to update your %s %s ?,INCOMPLETE (SOME),
Artist,'',Artist,,Artist,INCOMPLETE (SOME),
Arts/Culture,'',Arts/Culture,,Arts/Culture,INCOMPLETE (SOME),
Ask user,'',Ask user,,Ask user,INCOMPLETE (SOME),
Aspect ratio,'',Aspect ratio,,Aspect ratio,INCOMPLETE (SOME),
Assigned CAIds:,'',Assigned CAIds:,,Assigned CAIds:,INCOMPLETE (SOME),
Assigned services/provider:,'',Assigned services/provider:,,Assigned services/provider:,INCOMPLETE (SOME),
At End:,'',At End:,,At End:,INCOMPLETE (SOME),
Attach a file,'',Attach a file,,Attach a file,INCOMPLETE (SOME),
Audio PID,'',Audio PID,,Audio PID,INCOMPLETE (SOME),
Audio language selection 1,'',Audio language selection 1,,Audio language selection 1,INCOMPLETE (SOME),
Audio language selection 2,'',Audio language selection 2,,Audio language selection 2,INCOMPLETE (SOME),
Audio language selection 3,'',Audio language selection 3,,Audio language selection 3,INCOMPLETE (SOME),
Audio language selection 4,'',Audio language selection 4,,Audio language selection 4,INCOMPLETE (SOME),
Audio options...,'',Audio options...,,Audio options...,INCOMPLETE (SOME),
Audio track (%s) format,,Audio track (%s) format,,Audio track (%s) format,UNCHANGED (SOME),
Audio track (%s) language,,Audio track (%s) language,,Audio track (%s) language,UNCHANGED (SOME),
Author: ,'',Author: ,,Author: ,INCOMPLETE (SOME),
Authoring mode,'',Authoring mode,,Authoring mode,INCOMPLETE (SOME),
Auto,'',Auto,,Auto,INCOMPLETE (SOME),
Auto Deep Standby,'',Auto Deep Standby,,Auto Deep Standby,INCOMPLETE (SOME),
Auto Standby,'',Auto Standby,,Auto Standby,INCOMPLETE (SOME),
Auto chapter split every ? minutes (0=never),'',Auto chapter split every ? minutes (0=never),,Auto chapter split every ? minutes (0=never),INCOMPLETE (SOME),
Auto flesh,'',Auto flesh,,Auto flesh,INCOMPLETE (SOME),
Auto focus,'',Auto focus,,Auto focus,INCOMPLETE (SOME),
Auto focus commencing ...,'',Auto focus commencing ...,,Auto focus commencing ...,INCOMPLETE (SOME),
Auto language selection,'',Auto language selection,,,INCOMPLETE (SOME),
Auto scart switching,'',Auto scart switching,,Auto scart switching,INCOMPLETE (SOME),
Automatic,'',Automatic,,Automatic,INCOMPLETE (SOME),
Automatic Scan,'',Automatic Scan,,Automatic Scan,INCOMPLETE (SOME),
Automatic image backup,'',Automatic image backup,,Automatic image backup,INCOMPLETE (SOME),
Automatic refresh,'',Automatic refresh,,Automatic refresh,INCOMPLETE (SOME),
Automatic resolution,'',Automatic resolution,,Automatic resolution,INCOMPLETE (SOME),
Automatic resolution label,'',Automatic resolution label,,Automatic resolution label,INCOMPLETE (SOME),
Automatic save,'',Automatic save,,Automatic save,INCOMPLETE (SOME),
Automatic scan,'',Automatic scan,,Automatic scan,INCOMPLETE (SOME),
Automatic settings backup,,Automatic settings backup,,Automatic settings backup,UNCHANGED (SOME),
Automatically start timeshift after,'',Automatically start timeshift after,,Automatically start timeshift after,INCOMPLETE (SOME),
Automatically turn on external subtitles,'',Automatically turn on external subtitles,,Automatically turn on external subtitles,INCOMPLETE (SOME),
Automatically update Client/Server View?,'',Automatically update Client/Server View?,,Automatically update Client/Server View?,INCOMPLETE (SOME),
Autostart,'',Autostart,,Autostart,INCOMPLETE (SOME),
Autostart:,'',Autostart:,,Autostart:,INCOMPLETE (SOME),
Available format variables,'',Available format variables,,Available format variables,INCOMPLETE (SOME),
Available shares:,'',Available shares:,,Available shares:,INCOMPLETE (SOME),
B,'',B,,B,INCOMPLETE (SOME),
BA,,BA,,,SOLITARY,
BB,,BB,,,SOLITARY,
Back,'',Back,,Back,INCOMPLETE (SOME),
Background,'',Background,,Background,INCOMPLETE (SOME),
Background check,'',Background check,,Background check,INCOMPLETE (SOME),
Background color,Background colour,Background colour,,Background color,MISMATCH (SOME),
Background delete option,'',Background delete option,,Background delete option,INCOMPLETE (SOME),
Background delete speed,'',Background delete speed,,Background delete speed,INCOMPLETE (SOME),
Backup Manager,'',Backup Manager,,,INCOMPLETE (SOME),
Backup completed.,'',Backup completed.,,Backup completed.,INCOMPLETE (SOME),
Backup failed.,'',Backup failed.,,Backup failed.,INCOMPLETE (SOME),
Backup is running...,'',Backup is running...,,Backup is running...,INCOMPLETE (SOME),
Backup system settings,'',Backup system settings,,Backup system settings,INCOMPLETE (SOME),
Band,'',Band,,Band,INCOMPLETE (SOME),
Bandwidth,'',Bandwidth,,Bandwidth,INCOMPLETE (SOME),
