msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
16:9 Letterbox,,,,16:9 Letterbox,SOLITARY,
16:9 always,,,,16:9 always,SOLITARY,
16K,,,,'',SOLITARY,
18 V,,,,18 V,SOLITARY,
1X,,,,1X,SOLITARY,
1st Infobar timeout,,,,1st Infobar timeout,SOLITARY,
20 MB/s,,,,'',SOLITARY,
2160p 24Hz,,,,2160p 24Hz,SOLITARY,
2160p 25Hz,,,,2160p 25Hz,SOLITARY,
2160p 30Hz,,,,2160p 30Hz,SOLITARY,
2160p 50Hz,,,,2160p 50Hz,SOLITARY,
2160p 60Hz,,,,2160p 60Hz,SOLITARY,
23.976,,,,23.976,SOLITARY,
24,,,,24,SOLITARY,
25,,,,25,SOLITARY,
29.97,,,,29.97,SOLITARY,
2X,,,,2X,SOLITARY,
30,,,,30,SOLITARY,
3D,,,,'',SOLITARY,
3D Mode,,,,3D Mode,SOLITARY,
3D Surround,,,,3D Surround,SOLITARY,
3D Surround Speaker Position,,,,3D Surround Speaker Position,SOLITARY,
3X,,,,3X,SOLITARY,
420,,,,'',SOLITARY,
422,,,,'',SOLITARY,
444,,,,'',SOLITARY,
480p 24Hz,,,,480p 24Hz,SOLITARY,
4:3,,,,4:3,SOLITARY,
4:3 Letterbox,,,,4:3 Letterbox,SOLITARY,
4:3 PanScan,,,,4:3 PanScan,SOLITARY,
4K,,,,'',SOLITARY,
4X,,,,4X,SOLITARY,
50 MB/s,,,,'',SOLITARY,
6,,,,'',SOLITARY,
720p,,,,720p,SOLITARY,
720p 24Hz,,,,720p 24Hz,SOLITARY,
8K,,,,'',SOLITARY,
8bit,,,,'',SOLITARY,
<Current movielist location>,,,,<Current movielist location>,SOLITARY,
<Default movie location>,,,,<Default movie location>,SOLITARY,
<Emergency>,,,,'',SOLITARY,
<Last timer location>,,,,<Last timer location>,SOLITARY,
<Pending restart>,,,,'',SOLITARY,
<unknown>,,,,<unknown>,SOLITARY,
=NO STREAM\n,,,,'',SOLITARY,
??,,,,??,SOLITARY,
A,,,,A,SOLITARY,
"A background update check is in progress,\nplease wait a few minutes and try again.",,,,"A background update check is in progress,\nplease wait a few minutes and try again.",SOLITARY,
"A background update check is in progress, please wait a few minutes and then try again.",,,,"A background update check is in progress, please wait a few minutes and then try again.",SOLITARY,
"A background update check is in progress, please wait a few minutes and try again.",,,,"A background update check is in progress, please wait a few minutes and try again.",SOLITARY,
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,,,,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,SOLITARY,
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,,,,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,SOLITARY,
A finished powertimer wants to reboot your %s %s.\nDo that now?,,,,A finished powertimer wants to reboot your %s %s.\nDo that now?,SOLITARY,
A finished powertimer wants to restart the user interface.\nDo that now?,,,,A finished powertimer wants to restart the user interface.\nDo that now?,SOLITARY,
A finished powertimer wants to set your\n%s %s to standby. Do that now?,,,,A finished powertimer wants to set your\n%s %s to standby. Do that now?,SOLITARY,
A finished powertimer wants to shutdown your %s %s.\nDo that now?,,,,A finished powertimer wants to shutdown your %s %s.\nDo that now?,SOLITARY,
A finished record timer wants to set your\n%s %s to standby. Do that now?,,,,A finished record timer wants to set your\n%s %s to standby. Do that now?,SOLITARY,
A finished record timer wants to shut down\nyour %s %s. Shutdown now?,,,,A finished record timer wants to shut down\nyour %s %s. Shutdown now?,SOLITARY,
A recording has been started:\n%s,,,,A recording has been started:\n%s,SOLITARY,
A recording is currently in progress.\nWhat do you want to do?,,,,A recording is currently in progress.\nWhat do you want to do?,SOLITARY,
A recording is currently running. Please stop the recording before trying to scan.,,,,A recording is currently running. Please stop the recording before trying to scan.,SOLITARY,
