msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
Allocate,'',Allocate,Allocate,Allocate,INCOMPLETE (ALL),
Allocate a number to the physical LNB you are configuring. You will be able to select this LNB again for other satellites (e.g. motorised dishes) to save setting up the same LNB multiple times.,Allocate a number to the physical LNB you're configuring. You'll be able to select this LNB again for other satellites (e.g. motorized dishes) to avoid having to set up the same LNB multiple times.,,'','',INCOMPLETE (SOME),
Allocate unused memory index,'',Allocate unused memory index,Allocate unused memory index,Allocate unused memory index,INCOMPLETE (ALL),
Allow 10bit,Allow 10-bit,'','','',INCOMPLETE (ALL),
Allow 12bit,Allow 12-bit,'','','',INCOMPLETE (ALL),
Allow quit movieplayer with exit,Use EXIT button to quit movie player,'',Allow quit movieplayer with exit,,MISMATCH (SOME),
Allow subtitle language to equal audio language,Allow subtitle language to match audio language,Allow subtitle language to equal audio language,Allow subtitle language to equal audio language,Allow subtitle language to equal audio language,MISMATCH (ALL),
Allow subtitles for hearing impaired,Allow subtitles for the hearing impaired,Allow subtitles for hearing impaired,Allow subtitles for hearing impaired,Allow subtitles for hearing impaired,MISMATCH (ALL),
Alpha,Letter,Alpha,Alpha,Alpha,MISMATCH (ALL),
Also import at reboot/restart enigma2,,,'',,SOLITARY,
Also import when box is leaving standby,,,'',,SOLITARY,
Also on standby,'',,'',,EMPTY (SOME),
Alternative,'',Alternative,Alternative,Alternative,INCOMPLETE (ALL),
Alternative URL for images listed on FlashImage,,,'',,SOLITARY,
Alternative URLs for DVB-T/C or ATSC,,,'',,SOLITARY,
Alternative numbering mode,'',Alternative numbering mode,Alternative numbering mode,Alternative numbering mode,INCOMPLETE (ALL),
Alternative services tuner priority,'',Alternative services tuner priority,Alternative services tuner priority,Alternative services tuner priority,INCOMPLETE (ALL),
Always ask,always ask,Always ask,Always ask,Always ask,MISMATCH (ALL),capitalisation
Always hide infobar,'',Always hide infobar,'',Always hide infobar,INCOMPLETE (ALL),
Always include ECM in recordings,'',,'',,EMPTY (SOME),
"Always include ECM messages in recordings. This overrides the individual timer settings globally. It allows recordings to be always decrypted afterwards (sometimes called offline decoding), if supported by your receiver. Default: off.",Always include ECM data in recordings. This overrides the individual timer settings globally and (if your receiver supports it) allows recordings to always be decrypted later (sometimes called offline decoding). Default: 'off'.,,'',,INCOMPLETE (SOME),
American Samoa,'',,'','',EMPTY (SOME),
An empty filename is illegal.,'',An empty filename is illegal.,An empty filename is illegal.,An empty filename is illegal.,INCOMPLETE (ALL),
An error occurred while downloading the packetlist. Please try again.,"Something went wrong while downloading the package list, please try again!",An error occurred while downloading the packetlist. Please try again.,An error occurred while downloading the packetlist. Please try again.,An error occurred while downloading the packetlist. Please try again.,MISMATCH (ALL),
An unknown error occurred!,An unknown problem occurred!,An unknown error occurred!,An unknown error occurred!,An unknown error occurred!,MISMATCH (ALL),
And will put your receiver in standby over ,,,'',,SOLITARY,
Andorra,'',,'','',EMPTY (SOME),
Angola,'',,'','',EMPTY (SOME),
Anguilla,'',,'','',EMPTY (SOME),
